ridge_rev,elastic_rev,rf_rev,lgbm_rev,baseline_rev,Date,Actual_Revenue,Actual_COGS,Meta_Revenue,Meta_COGS
0.0,0.0,0.0,0.0,1760335.8925350022,2012-07-04,5123547.94,3982991.19,865377.2883954279,-3591889.1675039185
0.0,0.0,0.0,0.0,2240051.095451594,2012-07-05,2751773.45,2150580.23,1366407.9617541144,-3158990.6976889735
0.0,0.0,0.0,0.0,2424616.63801608,2012-07-06,3054029.42,2517632.84,1559174.4146571592,-2974768.945161883
0.0,0.0,0.0,0.0,2961619.257227247,2012-07-07,2667930.94,2108246.62,2120037.990093041,-2546548.763031406
0.0,0.0,0.0,0.0,2876612.2924041525,2012-07-08,2360851.9,1808622.79,2031253.8603290766,-2607104.588357193
0.0,0.0,0.0,0.0,3801508.5356774484,2012-07-09,3548386.46,2787841.68,2997246.5675368793,-1892475.5033578947
0.0,0.0,0.0,0.0,3795684.6738588186,2012-07-10,5234938.62,4044438.84,2991163.9306081445,-1954763.7243822678
0.0,0.0,0.0,0.0,4201506.980197204,2012-07-11,5582884.78,4338313.07,3415018.3804410575,-1596457.0974156936
0.0,0.0,0.0,0.0,4177578.906208617,2012-07-12,5734632.02,4458811.27,3390027.096133642,-1612591.2817061949
0.0,0.0,0.0,0.0,3889761.1463674754,2012-07-13,5309511.71,4143402.78,3089420.5588776837,-1865125.5865344908
0.0,0.0,0.0,0.0,3918427.7335960106,2012-07-14,3820831.41,3075464.87,3119360.905597331,-1783111.6793336258
0.0,0.0,0.0,0.0,4290671.973269256,2012-07-15,3948841.28,3154482.05,3508145.294591995,-1466618.5796068455
0.0,0.0,0.0,0.0,4174551.370134443,2012-07-16,3503801.49,2708219.59,3386865.0357514843,-1602087.058273104
0.0,0.0,0.0,0.0,4232949.631402855,2012-07-17,4476729.49,3463061.65,3447858.1416368037,-1559967.274349403
0.0,0.0,0.0,0.0,4472713.590785254,2012-07-18,5184141.46,4072012.16,3698275.675386291,-1340940.758219696
0.0,0.0,0.0,0.0,4475388.241395322,2012-07-19,6421487.11,5007270.91,3701069.17033499,-1544318.2969619231
0.0,0.0,0.0,0.0,4524195.205583238,2012-07-20,5171470.46,4213989.64,3752044.803341803,-1590956.0038054278
0.0,0.0,0.0,0.0,4598849.223714386,2012-07-21,3442157.02,2746075.45,3830015.967786396,-1653236.3324586945
0.0,0.0,0.0,0.0,4781254.017527625,2012-07-22,3117550.57,2531656.38,4020525.662105985,-1619874.5496269572
0.0,0.0,0.0,0.0,5099442.614874341,2012-07-23,4730517.69,3685006.66,4352852.522323087,-1517020.3972211871
0.0,0.0,0.0,0.0,4895748.358139647,2012-07-24,4096496.12,3248450.65,4140107.3977354355,-1671957.6124587539
0.0,0.0,0.0,0.0,4937583.85509317,2012-07-25,5246688.08,4140019.37,4183801.7961649206,-1650164.77425384
