Date,day_sin,day_cos,day_of_week,is_weekend,month,is_tet_period,days_to_tet,days_since_tet,tet_recency_weight,is_public_holiday,holiday_recency_weight,promo_active,promo_intensity,promo_stackable,promo_carryover_5d,expected_sessions,traffic_uncertainty,inventory_fill_rate,inventory_sell_through,inventory_days_since_snapshot,inventory_is_stale_rate,conversion_rate_overall
2012-07-04,-0.0580255693287803,-0.9983150972033183,2,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28647.91111111112,0.186956011734114,0.0,0.0,0.0,0.0,529400000000.0
2012-07-05,-0.0751895764147585,-0.9971692572470178,3,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28383.52272727272,0.1718538874844356,0.0,0.0,0.0,0.0,529400000000.0
2012-07-06,-0.0923313336953912,-0.9957283388645872,4,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28131.377777777787,0.1552365646578441,0.0,0.0,0.0,0.0,529400000000.0
2012-07-07,-0.1094457686489155,-0.993992768446958,5,1,7,0,0,0,0.0,0,0.0,0,0.0,0,0,27904.54545454545,0.1778006021651897,0.0,0.0,0.0,0.0,529400000000.0
2012-07-08,-0.1265278168386831,-0.9919630595773395,6,1,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28054.54545454545,0.1634467381271921,0.0,0.0,0.0,0.0,529400000000.0
2012-07-09,-0.1435724234118113,-0.9896398128792412,0,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28006.54545454545,0.1812264403732195,0.0,0.0,0.0,0.0,529400000000.0
2012-07-10,-0.1605745445949937,-0.9870237158387384,1,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28207.681818181823,0.1652837272431158,0.0,0.0,0.0,0.0,529400000000.0
2012-07-11,-0.1775291491870349,-0.984115542601034,2,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28647.91111111112,0.186956011734114,0.0,0.0,0.0,0.0,529400000000.0
2012-07-12,-0.1944312200476619,-0.9809161537413774,3,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28383.52272727272,0.1718538874844356,0.0,0.0,0.0,0.0,529400000000.0
2012-07-13,-0.2112757555821793,-0.9774264960104057,4,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28131.377777777787,0.1552365646578441,0.0,0.0,0.0,0.0,529400000000.0
2012-07-14,-0.2280577712215198,-0.9736476020539838,5,1,7,0,0,0,0.0,0,0.0,0,0.0,0,0,27904.54545454545,0.1778006021651897,0.0,0.0,0.0,0.0,529400000000.0
2012-07-15,-0.2447723008972595,-0.9695805901076308,6,1,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28054.54545454545,0.1634467381271921,0.0,0.0,0.0,0.0,529400000000.0
2012-07-16,-0.2614143985111562,-0.965226663665613,0,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28006.54545454545,0.1812264403732195,0.0,0.0,0.0,0.0,529400000000.0
2012-07-17,-0.2779791393987801,-0.9605871111248128,1,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28207.681818181823,0.1652837272431158,0.0,0.0,0.0,0.0,529400000000.0
2012-07-18,-0.2944616217868012,-0.9556633054034704,2,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28647.91111111112,0.186956011734114,0.0,0.0,0.0,0.0,529400000000.0
2012-07-19,-0.3108569682435036,-0.9504567035349152,3,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28383.52272727272,0.1718538874844356,0.0,0.0,0.0,0.0,529400000000.0
2012-07-20,-0.3271603271220951,-0.9449688462364056,4,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28131.377777777787,0.1552365646578441,0.0,0.0,0.0,0.0,529400000000.0
2012-07-21,-0.343366873996388,-0.939201357453208,5,1,7,0,0,0,0.0,0,0.0,0,0.0,0,0,27904.54545454545,0.1778006021651897,0.0,0.0,0.0,0.0,529400000000.0
2012-07-22,-0.3594718130884232,-0.9331559438780432,6,1,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28054.54545454545,0.1634467381271921,0.0,0.0,0.0,0.0,529400000000.0
2012-07-23,-0.3754703786876202,-0.9268343944460494,0,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28006.54545454545,0.1812264403732195,0.0,0.0,0.0,0.0,529400000000.0
2012-07-24,-0.3913578365610259,-0.9202385798054076,1,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28207.681818181823,0.1652837272431158,0.0,0.0,0.0,0.0,529400000000.0
2012-07-25,-0.4071294853542516,-0.9133704517637858,2,0,7,0,0,0,0.0,0,0.0,0,0.0,0,0,28647.91111111112,0.186956011734114,0.0,0.0,0.0,0.0,529400000000.0
